date;forecast;actual;weather_combo
2026-02-10 17:00:00;3433.3262548554176;5342.617;['temperature', 'wind_speed', 'precipitation']
2026-02-10 18:00:00;4509.204436975552;5926.32475;['temperature', 'wind_speed', 'precipitation']
2026-02-10 19:00:00;3634.6334101785587;3875.02825;['temperature', 'wind_speed', 'precipitation']
2026-02-10 20:00:00;3360.366037072377;4273.53175;['temperature', 'wind_speed', 'precipitation']
2026-02-10 21:00:00;3791.1999812764434;2881.09475;['temperature', 'wind_speed', 'precipitation']
2026-02-10 22:00:00;3353.27710086716;2286.139;['temperature', 'wind_speed', 'precipitation']
2026-02-10 23:00:00;3161.459895511274;3057.192;['temperature', 'wind_speed', 'precipitation']
2026-02-11 00:00:00;2447.4202412422846;2366.50825;['temperature', 'wind_speed', 'precipitation']
2026-02-11 01:00:00;2716.010901341633;2711.8525;['temperature', 'wind_speed', 'precipitation']
2026-02-11 02:00:00;2617.1142448420765;2083.15775;['temperature', 'wind_speed', 'precipitation']
2026-02-11 03:00:00;2751.5381612864944;2465.2165000000005;['temperature', 'wind_speed', 'precipitation']
2026-02-11 04:00:00;2644.489743821835;2897.0037500000003;['temperature', 'wind_speed', 'precipitation']
2026-02-11 05:00:00;3174.0643246566387;2676.7915000000003;['temperature', 'wind_speed', 'precipitation']
2026-02-11 06:00:00;3235.7665603533064;2365.58925;['temperature', 'wind_speed', 'precipitation']
2026-02-11 07:00:00;2755.1562723555235;3238.81225;['temperature', 'wind_speed', 'precipitation']
2026-02-11 08:00:00;3169.0376514400523;2706.17225;['temperature', 'wind_speed', 'precipitation']
2026-02-11 09:00:00;3067.9240783031864;3475.922;['temperature', 'wind_speed', 'precipitation']
2026-02-11 10:00:00;2339.2063013438287;2244.5915;['temperature', 'wind_speed', 'precipitation']
2026-02-11 11:00:00;2678.7302916194353;2952.637;['temperature', 'wind_speed', 'precipitation']
2026-02-11 12:00:00;2317.3383691362674;1686.3925;['temperature', 'wind_speed', 'precipitation']
2026-02-11 13:00:00;3066.7623533678798;3154.1665;['temperature', 'wind_speed', 'precipitation']
2026-02-11 14:00:00;2544.8656393118804;2227.19575;['temperature', 'wind_speed', 'precipitation']
2026-02-11 15:00:00;2752.25551497162;2543.43525;['temperature', 'wind_speed', 'precipitation']
2026-02-11 16:00:00;2791.23515993502;2576.265;['temperature', 'wind_speed', 'precipitation']
2026-02-11 17:00:00;3607.638141268919;1333.5;['temperature', 'wind_speed', 'precipitation']
2026-02-11 18:00:00;3963.242464921732;3750.33275;['temperature', 'wind_speed', 'precipitation']
2026-02-11 19:00:00;3223.581862282098;3982.69175;['temperature', 'wind_speed', 'precipitation']
2026-02-11 20:00:00;3462.012453804263;3578.161;['temperature', 'wind_speed', 'precipitation']
2026-02-11 21:00:00;2958.9186615452577;2482.21025;['temperature', 'wind_speed', 'precipitation']
2026-02-11 22:00:00;2741.8978256928713;2358.59375;['temperature', 'wind_speed', 'precipitation']
2026-02-11 23:00:00;3015.931497827796;2322.409;['temperature', 'wind_speed', 'precipitation']
2026-02-12 00:00:00;2069.4383225938955;2297.366;['temperature', 'wind_speed', 'precipitation']
2026-02-12 01:00:00;2394.2881203035126;2377.4665;['temperature', 'wind_speed', 'precipitation']
2026-02-12 02:00:00;2307.1576091104957;1861.1955;['temperature', 'wind_speed', 'precipitation']
2026-02-12 03:00:00;2401.5009632515944;1835.98825;['temperature', 'wind_speed', 'precipitation']
2026-02-12 04:00:00;2817.2572915144883;1987.42975;['temperature', 'wind_speed', 'precipitation']
2026-02-12 05:00:00;2665.229357343748;2928.504;['temperature', 'wind_speed', 'precipitation']
2026-02-12 06:00:00;2735.1864927312936;2122.81;['temperature', 'wind_speed', 'precipitation']
2026-02-12 07:00:00;2862.226716966042;2338.194;['temperature', 'wind_speed', 'precipitation']
2026-02-12 08:00:00;3043.621037353287;1348.37875;['temperature', 'wind_speed', 'precipitation']
2026-02-12 09:00:00;3068.414302932959;928.61625;['temperature', 'wind_speed', 'precipitation']
2026-02-12 10:00:00;2362.1674092828343;2329.8340000000003;['temperature', 'wind_speed', 'precipitation']
2026-02-12 11:00:00;2643.6070549148158;1817.92825;['temperature', 'wind_speed', 'precipitation']
2026-02-12 12:00:00;2398.8947044455736;3735.537;['temperature', 'wind_speed', 'precipitation']
2026-02-12 13:00:00;2840.1940492352182;2596.203;['temperature', 'wind_speed', 'precipitation']
2026-02-12 14:00:00;2335.679114177416;2194.61975;['temperature', 'wind_speed', 'precipitation']
2026-02-12 15:00:00;2598.326490730914;1834.60225;['temperature', 'wind_speed', 'precipitation']
2026-02-12 16:00:00;2684.9882856417007;2180.3565;['temperature', 'wind_speed', 'precipitation']
2026-02-12 17:00:00;3632.6078110570743;3746.30075;['temperature', 'wind_speed', 'precipitation']
2026-02-12 18:00:00;4291.514877398992;4982.87875;['temperature', 'wind_speed', 'precipitation']
2026-02-12 19:00:00;3016.475229563762;3386.71775;['temperature', 'wind_speed', 'precipitation']
2026-02-12 20:00:00;3437.3641181568687;3613.59775;['temperature', 'wind_speed', 'precipitation']
2026-02-12 21:00:00;2744.3159563720733;3065.22725;['temperature', 'wind_speed', 'precipitation']
2026-02-12 22:00:00;2458.5959436010626;2475.28875;['temperature', 'wind_speed', 'precipitation']
2026-02-12 23:00:00;2509.6414419330777;2045.159;['temperature', 'wind_speed', 'precipitation']
2026-02-13 00:00:00;2194.090677126246;2855.48325;['temperature', 'wind_speed', 'precipitation']
2026-02-13 01:00:00;2279.6517232896294;2102.1375;['temperature', 'wind_speed', 'precipitation']
2026-02-13 02:00:00;2140.025150347738;2721.5535;['temperature', 'wind_speed', 'precipitation']
2026-02-13 03:00:00;2323.5022714702677;2265.05425;['temperature', 'wind_speed', 'precipitation']
2026-02-13 04:00:00;2500.793921422612;2724.386;['temperature', 'wind_speed', 'precipitation']
2026-02-13 05:00:00;2634.5804230806857;1950.27;['temperature', 'wind_speed', 'precipitation']
2026-02-13 06:00:00;2271.021194778022;2676.27525;['temperature', 'wind_speed', 'precipitation']
2026-02-13 07:00:00;2618.5012286754327;1876.716;['temperature', 'wind_speed', 'precipitation']
2026-02-13 08:00:00;2418.6013935260917;3155.0185;['temperature', 'wind_speed', 'precipitation']
2026-02-13 09:00:00;2168.91473555991;3419.00525;['temperature', 'wind_speed', 'precipitation']
2026-02-13 10:00:00;2458.3930172492355;2633.61775;['temperature', 'wind_speed', 'precipitation']
2026-02-13 11:00:00;2660.644018279324;3832.5985;['temperature', 'wind_speed', 'precipitation']
2026-02-13 12:00:00;3219.979973960776;2113.4985;['temperature', 'wind_speed', 'precipitation']
2026-02-13 13:00:00;2674.065152754737;2406.8145;['temperature', 'wind_speed', 'precipitation']
2026-02-13 14:00:00;2355.39011373145;2225.23925;['temperature', 'wind_speed', 'precipitation']
2026-02-13 15:00:00;2489.565532444581;2112.819;['temperature', 'wind_speed', 'precipitation']
2026-02-13 16:00:00;2561.0508228181584;2119.783;['temperature', 'wind_speed', 'precipitation']
2026-02-13 17:00:00;3658.5382471462253;2762.934;['temperature', 'wind_speed', 'precipitation']
